;parent;name;inner.name
0;The United States should ban assault weapons;Are assault weapons legal in the US?;Is an AR 15 a military grade weapon?
1;The United States should ban assault weapons;Are assault weapons legal in the US?;Is an AR 15 an assault weapon?
2;The United States should ban assault weapons;What is considered an assault weapon?;What is the purpose of assault rifles?
3;The United States should ban assault weapons;What is considered an assault weapon?;Is an AK 47 an assault rifle?
4;The United States should ban assault weapons;What is considered an assault weapon?;Is assault rifle a real term?
5;The United States should ban assault weapons;Are automatic guns legal in the US?;Are AK 47s illegal in the United States?
6;The United States should ban assault weapons;Are automatic guns legal in the US?;Are Uzis legal in the US?
7;The United States should ban assault weapons;Are automatic guns legal in the US?;What states do not require a gun license?
8;The United States should ban assault weapons;Do you need a background check to buy an assault rifle?;Do all 50 states have background checks for guns?
9;The United States should ban assault weapons;Do you need a background check to buy an assault rifle?;What is the current law on background checks for guns?
