;parent;name;inner.name
0;Wind power should be a primary focus of future energy supply.;What are 3 advantages of wind energy?;What is the advantage and disadvantage of wind energy?
1;Wind power should be a primary focus of future energy supply.;What are 3 advantages of wind energy?;Why is wind energy cheap?
2;Wind power should be a primary focus of future energy supply.;What are 3 advantages of wind energy?;Will wind turbines be used in the future?
3;Wind power should be a primary focus of future energy supply.;What are 3 advantages of wind energy?;What are the main uses of wind energy?
4;Wind power should be a primary focus of future energy supply.;What are 3 advantages of wind energy?;What are pros and cons of wind power?
5;Wind power should be a primary focus of future energy supply.;Will wind turbines be used in the future?;Can wind energy work well with other forms of energy?
6;Wind power should be a primary focus of future energy supply.;Will wind turbines be used in the future?;How has wind energy improved?
7;Wind power should be a primary focus of future energy supply.;Will wind turbines be used in the future?;Can wind turbines?
8;Wind power should be a primary focus of future energy supply.;Will wind turbines be used in the future?;What are the main uses of wind energy?
9;Wind power should be a primary focus of future energy supply.;Will wind turbines be used in the future?;What are pros and cons of wind power?
10;Wind power should be a primary focus of future energy supply.;What are the main uses of wind energy?;What is the purpose of wind power?
11;Wind power should be a primary focus of future energy supply.;What are the main uses of wind energy?;Do wind turbines use electricity?
12;Wind power should be a primary focus of future energy supply.;What are the main uses of wind energy?;Should we use wind energy?
13;Wind power should be a primary focus of future energy supply.;What are the main uses of wind energy?;What are pros and cons of wind power?
14;Wind power should be a primary focus of future energy supply.;What are pros and cons of wind power?;Why will wind power never completely replace fossil fuels?
15;Wind power should be a primary focus of future energy supply.;What are pros and cons of wind power?;Are wind turbines effective?
16;Wind power should be a primary focus of future energy supply.;What are pros and cons of wind power?;What is bad about wind energy?
