;parent;name;inner.name
0;Speed limits should be reduced;Should speed limits be lowered?;Is it safe to drive faster or slower?
1;Speed limits should be reduced;Should speed limits be lowered?;Does lowering the speed limit save lives?
2;Speed limits should be reduced;Do speed limits reduce accidents?;How fast can you go over the speed limit on the highway?
3;Speed limits should be reduced;Do speed limits reduce accidents?;Do higher speed limits cause more accidents?
4;Speed limits should be reduced;Do speed limits reduce accidents?;Why can cars go over the speed limit?
5;Speed limits should be reduced;What is the safest speed to drive?;Is it illegal to drive slower than the speed limit?
6;Speed limits should be reduced;What is the safest speed to drive?;Should you drive the speed limit?
7;Speed limits should be reduced;What is the safest speed to drive?;Is it dangerous to drive under the speed limit?
8;Speed limits should be reduced;Why are speed limits good?;
9;Speed limits should be reduced;Why are speed limits good?;
10;Speed limits should be reduced;Why are speed limits good?;
