;parent;name;inner.name
0;We must support the Scottish Independence;Why Scotland should leave the UK?;Is Scotland separate from England?
1;We must support the Scottish Independence;Why Scotland should leave the UK?;Is Scotland still under British rule?
2;We must support the Scottish Independence;Will Scotland leave the UK after Brexit?;Will Scotland and Ireland leave the UK?
3;We must support the Scottish Independence;Will Scotland leave the UK after Brexit?;Did Scotland leave the UK?
4;We must support the Scottish Independence;Will Scotland leave the UK after Brexit?;Is Scotland a free country?
5;We must support the Scottish Independence;Will Brexit lead to Scottish independence?;How many Scots voted for independence?
6;We must support the Scottish Independence;Will Brexit lead to Scottish independence?;Will Scottish independence happen?
7;We must support the Scottish Independence;Will Brexit lead to Scottish independence?;How many leave voters in Scotland?
8;We must support the Scottish Independence;How likely is Scottish independence?;Can Scotland declare independence?
9;We must support the Scottish Independence;How likely is Scottish independence?;How many times has Scotland voted for independence?
10;We must support the Scottish Independence;How likely is Scottish independence?;When did Scotland separate from England?
