;parent;name;inner.name
0;Companies should provide alternative interview methods;What are the 4 types of interviews?;What are my weaknesses examples?
1;Companies should provide alternative interview methods;What are the 4 types of interviews?;What are the major types of interviews?
2;Companies should provide alternative interview methods;What are the 5 top interview techniques?;What are the top 5 questions to ask an interviewer?
3;Companies should provide alternative interview methods;What are the 5 top interview techniques?;What's a good question to ask at the end of an interview?
4;Companies should provide alternative interview methods;What are the 5 top interview techniques?;What are the tips for a successful interview?
5;Companies should provide alternative interview methods;What are the 3 types of interviews?;What are the types of interview questions?
6;Companies should provide alternative interview methods;What are the 3 types of interviews?;What are the three components of an interview?
7;Companies should provide alternative interview methods;What are the 3 types of interviews?;How many types of interview are there?
8;Companies should provide alternative interview methods;What are the different interview techniques?;What are the interview methods?
9;Companies should provide alternative interview methods;What are the different interview techniques?;What is wasp interview technique?
10;Companies should provide alternative interview methods;What are the different interview techniques?;What are the advantages and disadvantages of interview?
