;parent;name;inner.name
0;The expenditure of money should be protected as speech;How is money free speech?;Are campaign contributions free speech?
1;The expenditure of money should be protected as speech;How is money free speech?;What did the BCRA do?
2;The expenditure of money should be protected as speech;What is protected political speech?;What is protected speech?
3;The expenditure of money should be protected as speech;What is protected political speech?;Why is free speech important?
4;The expenditure of money should be protected as speech;What is protected political speech?;What type of speech is not protected?
5;The expenditure of money should be protected as speech;Are political donations are considered a form of protected speech?;What is the difference between hard and soft money?
6;The expenditure of money should be protected as speech;Are political donations are considered a form of protected speech?;Which is true about soft money?
7;The expenditure of money should be protected as speech;Are political donations are considered a form of protected speech?;What is corporate political speech?
8;The expenditure of money should be protected as speech;Was Buckley v Valeo overturned?;What was the impact of Buckley v Valeo?
9;The expenditure of money should be protected as speech;Was Buckley v Valeo overturned?;Who won the Buckley v Valeo case?
10;The expenditure of money should be protected as speech;Was Buckley v Valeo overturned?;What is the significance of the court's ruling in Buckley v Valeo 1976 )?
