;parent;name;inner.name
0;Public health concerns justify compulsory immunization;What is compulsory vaccination mean?;Which vaccines are mandatory?
1;Public health concerns justify compulsory immunization;What is compulsory vaccination mean?;In what countries are vaccines mandatory?
2;Public health concerns justify compulsory immunization;Should public schools require vaccinations?;Can a child go to public school without being vaccinated?
3;Public health concerns justify compulsory immunization;Should public schools require vaccinations?;What states require mandatory vaccinations?
4;Public health concerns justify compulsory immunization;Should public schools require vaccinations?;Are vaccines necessary?
5;Public health concerns justify compulsory immunization;Can public schools require vaccinations?;Is it required by law to vaccinate your child?
6;Public health concerns justify compulsory immunization;Can public schools require vaccinations?;Which vaccines are most important?
7;Public health concerns justify compulsory immunization;Can public schools require vaccinations?;What vaccines are mandatory for college?
8;Public health concerns justify compulsory immunization;Why is herd immunity important to public health?;What impact does Reduced vaccination have on herd immunity?
9;Public health concerns justify compulsory immunization;Why is herd immunity important to public health?;How does vaccination prevent disease?
10;Public health concerns justify compulsory immunization;Why is herd immunity important to public health?;Who should not be vaccinated?
