;parent;name;inner.name
0;More gun control laws should be enacted;When did gun control first become an issue?;Is the Gun Control Act of 1968 still in effect?
1;More gun control laws should be enacted;When did gun control first become an issue?;How many Americans own a gun?
2;More gun control laws should be enacted;When did gun control begin?;Why was the Second Amendment written?
3;More gun control laws should be enacted;When did gun control begin?;When were machine guns banned in the US?
4;More gun control laws should be enacted;When did gun control begin?;Is gun control a law?
5;More gun control laws should be enacted;What is the purpose of gun control?;How many people die from gun violence in the US?
6;More gun control laws should be enacted;What is the purpose of gun control?;What is the purpose of gun registration?
7;More gun control laws should be enacted;What is the purpose of gun control?;What does gun violence mean?
8;More gun control laws should be enacted;What is the history of gun control?;Who invented the gun?
9;More gun control laws should be enacted;What is the history of gun control?;Are automatic weapons legal in the US?
10;More gun control laws should be enacted;What is the history of gun control?;Why are guns legal in the United States?
