;parent;name;inner.name
0;Fines should be made relative to income;Are speeding fines based on income?;What's the fine for speeding?
1;Fines should be made relative to income;Are speeding fines based on income?;What is the penalty for speeding in a 30mph zone?
2;Fines should be made relative to income;Are speeding fines based on income?;How much are speeding fines in Finland?
3;Fines should be made relative to income;Are speeding fines based on income?;Where do you pay traffic fines?
4;Fines should be made relative to income;Are speeding fines based on income?;What is the most expensive speeding ticket ever given?
5;Fines should be made relative to income;How much are speeding fines in Finland?;How does Finland calculate speeding tickets?
6;Fines should be made relative to income;How much are speeding fines in Finland?;How much is a speeding ticket in Sweden?
7;Fines should be made relative to income;How much are speeding fines in Finland?;What is the day fine system?
8;Fines should be made relative to income;How much are speeding fines in Finland?;Where do you pay traffic fines?
9;Fines should be made relative to income;How much are speeding fines in Finland?;What is the most expensive speeding ticket ever given?
10;Fines should be made relative to income;Where do you pay traffic fines?;What happens if you don't pay fines?
11;Fines should be made relative to income;Where do you pay traffic fines?;How long do I have to pay a fine?
12;Fines should be made relative to income;Where do you pay traffic fines?;What happens if you pay a fine late?
13;Fines should be made relative to income;Where do you pay traffic fines?;What is the most expensive speeding ticket ever given?
14;Fines should be made relative to income;What is the most expensive speeding ticket ever given?;Why is speeding ticket so expensive?
15;Fines should be made relative to income;What is the most expensive speeding ticket ever given?;What is the most someone has paid for a car?
16;Fines should be made relative to income;What is the most expensive speeding ticket ever given?;Who got the first speeding ticket?
