;parent;name;inner.name
0;Widen the East African Community;What are the challenges of East African Community?;What is the motto of East African Community?
1;Widen the East African Community;What are the challenges of East African Community?;What is the role of East African Community?
2;Widen the East African Community;What are the challenges of East African Community?;What are the advantages of East African Community?
3;Widen the East African Community;What are the challenges of East African Community?;Why was the East African Community formed?
4;Widen the East African Community;What are the challenges of East African Community?;What are the objectives of East African Community?
5;Widen the East African Community;What are the advantages of East African Community?;What is East African integration?
6;Widen the East African Community;What are the advantages of East African Community?;When was the East African Community revived?
7;Widen the East African Community;What are the advantages of East African Community?;Why was the East African Community formed?
8;Widen the East African Community;What are the advantages of East African Community?;What are the objectives of East African Community?
9;Widen the East African Community;Why was the East African Community formed?;Who is the current chairperson of the East African Community?
10;Widen the East African Community;Why was the East African Community formed?;When did East African Community start?
11;Widen the East African Community;Why was the East African Community formed?;What are the objectives of East African Community?
12;Widen the East African Community;What are the objectives of East African Community?;Is Ethiopia part of EAC?
13;Widen the East African Community;What are the objectives of East African Community?;What are the objectives of regional integration?
