;parent;name;inner.name
0;Force think tanks to reveal all of their sources of funding;How do think tanks make money?;Are think tanks nonprofits?
1;Force think tanks to reveal all of their sources of funding;How do think tanks make money?;What do think tanks actually do?
2;Force think tanks to reveal all of their sources of funding;How do I start a think tank?;What is the function of a think tank?
3;Force think tanks to reveal all of their sources of funding;How do I start a think tank?;What is a think tank meeting?
4;Force think tanks to reveal all of their sources of funding;How do I start a think tank?;What is a think tank UK?
5;Force think tanks to reveal all of their sources of funding;Do Think Tanks pay well?;How many think tanks are there in the US?
6;Force think tanks to reveal all of their sources of funding;Do Think Tanks pay well?;What does the Brookings Institute do?
7;Force think tanks to reveal all of their sources of funding;Do Think Tanks pay well?;How much do policy makers make?
8;Force think tanks to reveal all of their sources of funding;What is think tank in India?;How many think tanks in India?
9;Force think tanks to reveal all of their sources of funding;What is think tank in India?;Who is think tank of Congress?
10;Force think tanks to reveal all of their sources of funding;What is think tank in India?;What is policy research?
