;parent;name;inner.name
0;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;Who was stripped of Olympic medals?;When was Jim Thorpe stripped of his medals?
1;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;Who was stripped of Olympic medals?;How many medals did Russia lose?
2;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;Who was stripped of Olympic medals?;Was Tommie Smith stripped of his medal?
3;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;Who was stripped of Olympic medals?;How many Russian athletes banned Olympics?
4;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;Who was stripped of Olympic medals?;Do all Olympic athletes get drug tested?
5;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;Was Tommie Smith stripped of his medal?;Was Russia banned from the Olympics?
6;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;Was Tommie Smith stripped of his medal?;Does Russia compete in the Olympics?
7;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;Was Tommie Smith stripped of his medal?;Will Russia be allowed in the 2020 Olympics?
8;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;Was Tommie Smith stripped of his medal?;How many Russian athletes banned Olympics?
9;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;Was Tommie Smith stripped of his medal?;Do all Olympic athletes get drug tested?
10;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;How many Russian athletes banned Olympics?;Which country is banned from the Olympics?
11;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;How many Russian athletes banned Olympics?;What is the Olympic organization?
12;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;How many Russian athletes banned Olympics?;Do all Olympic athletes get drug tested?
13;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;Do all Olympic athletes get drug tested?;What is the Olympic motto?
14;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;Do all Olympic athletes get drug tested?;How many IOC members are there?
15;A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals;Do all Olympic athletes get drug tested?;What do you mean by IOC?
