;parent;name;inner.name
0;Institute a mandatory retirement age;Can companies have a mandatory retirement age?;What is the mandatory retirement age for NYPD?
1;Institute a mandatory retirement age;Can companies have a mandatory retirement age?;At what age can you force retirement?
2;Institute a mandatory retirement age;What jobs have mandatory retirement ages?;Is Forced Retirement legal?
3;Institute a mandatory retirement age;What jobs have mandatory retirement ages?;At what age do pilots retire?
4;Institute a mandatory retirement age;What jobs have mandatory retirement ages?;Why is there a mandatory retirement age?
5;Institute a mandatory retirement age;Can a person be forced to retire?;Is it illegal to ask an employee when they are retiring?
6;Institute a mandatory retirement age;Can a person be forced to retire?;Can you be forced to retire at 70?
7;Institute a mandatory retirement age;Can a person be forced to retire?;Can my employer ask me when I plan to retire?
8;Institute a mandatory retirement age;Is there a mandatory retirement age for government employees?;Can I retire at 55 and collect Social Security?
9;Institute a mandatory retirement age;Is there a mandatory retirement age for government employees?;At what age do Secret Service agents retire?
10;Institute a mandatory retirement age;Is there a mandatory retirement age for government employees?;What is the minimum age I can retire?
