;parent;name;inner.name
0;Professional sportsmen must be required to represent their countries at the international level;Should athletes be seen as role models?;Should athletes be held to a higher standard?
1;Professional sportsmen must be required to represent their countries at the international level;Should athletes be seen as role models?;How can athletes be role models?
2;Professional sportsmen must be required to represent their countries at the international level;Why athletes are good role models?;What benefits do international sporting events bring?
3;Professional sportsmen must be required to represent their countries at the international level;Why athletes are good role models?;Should celebrities be considered role models?
4;Professional sportsmen must be required to represent their countries at the international level;Why athletes are good role models?;What is a role model in sport?
5;Professional sportsmen must be required to represent their countries at the international level;How many professional athletes are there worldwide?;What sport pays the players the most?
6;Professional sportsmen must be required to represent their countries at the international level;How many professional athletes are there worldwide?;How many professional athletes go broke?
7;Professional sportsmen must be required to represent their countries at the international level;How many professional athletes are there worldwide?;Are professional athletes overpaid?
8;Professional sportsmen must be required to represent their countries at the international level;Do professional athletes need agents?;How much do athletes pay their agents?
9;Professional sportsmen must be required to represent their countries at the international level;Do professional athletes need agents?;What do sports agents do?
10;Professional sportsmen must be required to represent their countries at the international level;Do professional athletes need agents?;Why are sports agents important?
