;parent;name;inner.name
0;It is appropriate to build a muslim community center (aka the ''Ground Zero Mosque'') near the World Trade Center site;Is there a ground zero mosque?;Did Dr Krauthammer die?
1;It is appropriate to build a muslim community center (aka the ''Ground Zero Mosque'') near the World Trade Center site;Is there a ground zero mosque?;When did Charles Krauthammer have his diving accident?
2;It is appropriate to build a muslim community center (aka the ''Ground Zero Mosque'') near the World Trade Center site;How expensive is One World Trade Center?;How much money did it take to make the Twin Towers?
3;It is appropriate to build a muslim community center (aka the ''Ground Zero Mosque'') near the World Trade Center site;How expensive is One World Trade Center?;Who paid for one WTC?
4;It is appropriate to build a muslim community center (aka the ''Ground Zero Mosque'') near the World Trade Center site;How expensive is One World Trade Center?;Are the twin towers being rebuilt?
5;It is appropriate to build a muslim community center (aka the ''Ground Zero Mosque'') near the World Trade Center site;How many floors does One World Trade Center have?;How many planes crashed into the twin towers?
6;It is appropriate to build a muslim community center (aka the ''Ground Zero Mosque'') near the World Trade Center site;How many floors does One World Trade Center have?;How many people died in the twin towers?
7;It is appropriate to build a muslim community center (aka the ''Ground Zero Mosque'') near the World Trade Center site;How many floors does One World Trade Center have?;How long did it take for the twin towers to collapse?
8;It is appropriate to build a muslim community center (aka the ''Ground Zero Mosque'') near the World Trade Center site;How tall is One World Trade Center (1973–2001)?;Were the twin towers the tallest buildings in America?
9;It is appropriate to build a muslim community center (aka the ''Ground Zero Mosque'') near the World Trade Center site;How tall is One World Trade Center (1973–2001)?;Where is the tallest building in the world?
10;It is appropriate to build a muslim community center (aka the ''Ground Zero Mosque'') near the World Trade Center site;How tall is One World Trade Center (1973–2001)?;Is the new World Trade Center open?
