;parent;name;inner.name
0;Individuals who have committed atrocities in the Syrian Civil War should be investigated by the ICC;What human rights does Syria violate?;How many civilians killed Syria?
1;Individuals who have committed atrocities in the Syrian Civil War should be investigated by the ICC;What human rights does Syria violate?;How many Syrians died in 2018?
2;Individuals who have committed atrocities in the Syrian Civil War should be investigated by the ICC;Is Syria a member of the ICC?;Who prosecutes crimes against humanity?
3;Individuals who have committed atrocities in the Syrian Civil War should be investigated by the ICC;Is Syria a member of the ICC?;How does the ICC differ from the ICJ?
4;Individuals who have committed atrocities in the Syrian Civil War should be investigated by the ICC;Is Syria a member of the ICC?;What countries are not in the ICC?
5;Individuals who have committed atrocities in the Syrian Civil War should be investigated by the ICC;What is international criminal justice system?;What is International Code Council?
6;Individuals who have committed atrocities in the Syrian Civil War should be investigated by the ICC;What is international criminal justice system?;Is the US part of the ICC?
7;Individuals who have committed atrocities in the Syrian Civil War should be investigated by the ICC;What is international criminal justice system?;What is the old name of ICC?
8;Individuals who have committed atrocities in the Syrian Civil War should be investigated by the ICC;How large is Syria economy?;Does Syria have a strong military?
9;Individuals who have committed atrocities in the Syrian Civil War should be investigated by the ICC;How large is Syria economy?;How much oil does Syria produce?
10;Individuals who have committed atrocities in the Syrian Civil War should be investigated by the ICC;How large is Syria economy?;Is Syria a nation?
