;parent;name;inner.name
0;We should support the creation of a Free Trade Area of the Americas;What Regions would be included in a free trade area of the Americas?;What's the most common sport in South America?
1;We should support the creation of a Free Trade Area of the Americas;What Regions would be included in a free trade area of the Americas?;Is Guatemala part of Nafta?
2;We should support the creation of a Free Trade Area of the Americas;What is the purpose of FTAA?;What is the FTAA agreement?
3;We should support the creation of a Free Trade Area of the Americas;What is the purpose of FTAA?;What is the pros and cons of Nafta?
4;We should support the creation of a Free Trade Area of the Americas;What is the purpose of FTAA?;Who is Brazil's biggest trade partner?
5;We should support the creation of a Free Trade Area of the Americas;How has free trade helped the United States?;How has trade helped the US?
6;We should support the creation of a Free Trade Area of the Americas;How has free trade helped the United States?;How does Nafta benefit the US?
7;We should support the creation of a Free Trade Area of the Americas;How has free trade helped the United States?;Does Nafta benefit Canada?
8;We should support the creation of a Free Trade Area of the Americas;Does the United States promote free trade?;Who has free trade agreements with the US?
9;We should support the creation of a Free Trade Area of the Americas;Does the United States promote free trade?;What country has the most free trade agreements?
10;We should support the creation of a Free Trade Area of the Americas;Does the United States promote free trade?;What countries have free trade agreements?
