;parent;name;inner.name
0;The Falklands should be given back to Argentina;Can Argentina retake the Falklands?;What is there to do in the Falkland Islands?
1;The Falklands should be given back to Argentina;Can Argentina retake the Falklands?;Who won the Falklands war?
2;The Falklands should be given back to Argentina;Did the Falklands ever belong to Argentina?;Are Falkland Islands British citizens?
3;The Falklands should be given back to Argentina;Did the Falklands ever belong to Argentina?;Are the Falkland Islands still British?
4;The Falklands should be given back to Argentina;Did the Falklands ever belong to Argentina?;Is the Falkland Islands a British colony?
5;The Falklands should be given back to Argentina;Why did Argentina attack the Falklands Malvinas Islands?;Did Argentina surrender Falklands?
6;The Falklands should be given back to Argentina;Why did Argentina attack the Falklands Malvinas Islands?;Does Argentina have a legitimate claim to the Falklands?
7;The Falklands should be given back to Argentina;Why did Argentina attack the Falklands Malvinas Islands?;Was the Falklands war a last resort?
8;The Falklands should be given back to Argentina;Should Argentina have the Falklands?;Do Falkland Islanders want to be British?
9;The Falklands should be given back to Argentina;Should Argentina have the Falklands?;Why do the British want the Falkland Islands?
10;The Falklands should be given back to Argentina;Should Argentina have the Falklands?;How many British ships were sunk in the Falklands War?
