;parent;name;inner.name
0;The European Union should lift its ban on member states selling arms to China;Does EU have a trade deal with China?;Can UK make trade deals outside EU?
1;The European Union should lift its ban on member states selling arms to China;Does EU have a trade deal with China?;Which country accepted China first?
2;The European Union should lift its ban on member states selling arms to China;Why did China limit trade with Europe?;How did China control foreign trade?
3;The European Union should lift its ban on member states selling arms to China;Why did China limit trade with Europe?;What led to the creation of two Chinas?
4;The European Union should lift its ban on member states selling arms to China;Why did China limit trade with Europe?;Did the Qing Dynasty trade?
5;The European Union should lift its ban on member states selling arms to China;What did Europe trade to China?;What Chinese goods did Europeans demand?
6;The European Union should lift its ban on member states selling arms to China;What did Europe trade to China?;Who were the first European to come to China?
7;The European Union should lift its ban on member states selling arms to China;What did Europe trade to China?;Which countries have free trade agreements with China?
8;The European Union should lift its ban on member states selling arms to China;Is China a European country?;Is Japan in Europe?
9;The European Union should lift its ban on member states selling arms to China;Is China a European country?;Where in the world is China?
10;The European Union should lift its ban on member states selling arms to China;Is China a European country?;Which single country trades the most with the United States?
