;parent;name;inner.name
0;There must be a ban the sale of 3D printers to households;Should 3d printing be regulated?;How long will a 3d printed house last?
1;There must be a ban the sale of 3D printers to households;Should 3d printing be regulated?;How much does a 3d model cost?
2;There must be a ban the sale of 3D printers to households;Is it illegal to have a 3d printed gun?;Are ghost guns illegal?
3;There must be a ban the sale of 3D printers to households;Is it illegal to have a 3d printed gun?;Are 3d Printers legal?
4;There must be a ban the sale of 3D printers to households;Is it illegal to have a 3d printed gun?;What can 3d printers make?
5;There must be a ban the sale of 3D printers to households;Is 3d printing slow?;How fast do 3d printers work?
6;There must be a ban the sale of 3D printers to households;Is 3d printing slow?;Is 3d printing sustainable?
7;There must be a ban the sale of 3D printers to households;How much is a 3d printed house?;Can you live in a 3d printed house?
8;There must be a ban the sale of 3D printers to households;How much is a 3d printed house?;How does 3d printed houses work?
9;There must be a ban the sale of 3D printers to households;How much is a 3d printed house?;What is a 3d printed car?
