;parent;name;inner.name
0;Rain Man is such a bad image of autism;What is the story of Rain Man?;Was the movie Rain Man a true story?
1;Rain Man is such a bad image of autism;What is the story of Rain Man?;What movies won 11 Oscars?
2;Rain Man is such a bad image of autism;How many books did Kim Peek read?;Do all savants have autism?
3;Rain Man is such a bad image of autism;How many books did Kim Peek read?;How did Kim Peek die?
4;Rain Man is such a bad image of autism;How many books did Kim Peek read?;What causes non verbal autism?
5;Rain Man is such a bad image of autism;What is the film Rain Man about?;Is autism a psychological disorder?
6;Rain Man is such a bad image of autism;What is the film Rain Man about?;How did Tom Cruise and Nicole Kidman meet?
7;Rain Man is such a bad image of autism;What is the film Rain Man about?;What genre is Rain Man?
8;Rain Man is such a bad image of autism;What year did Rain Man come out?;When did Kim Peek die?
9;Rain Man is such a bad image of autism;What year did Rain Man come out?;Who produced Rain Man?
