;parent;name;inner.name
0;Co-Educational Schools Should Be Supported;Are co educational schools better?;Why are mixed gender schools better?
1;Co-Educational Schools Should Be Supported;Are co educational schools better?;Why are single gender schools better?
2;Co-Educational Schools Should Be Supported;What are the advantages of co education?;What is importance of co education?
3;Co-Educational Schools Should Be Supported;What are the advantages of co education?;Do students learn better in single gender schools?
4;Co-Educational Schools Should Be Supported;What are the advantages of co education?;Should we have single gender schools?
5;Co-Educational Schools Should Be Supported;Which is better co education or separate?;Is single gender schools better?
6;Co-Educational Schools Should Be Supported;Which is better co education or separate?;Is single gender education better?
7;Co-Educational Schools Should Be Supported;Which is better co education or separate?;What is co education and separate education?
8;Co-Educational Schools Should Be Supported;What is co education system?;What are the benefits of mixed schools?
9;Co-Educational Schools Should Be Supported;What is co education system?;Are there benefits to attending a single gender school?
10;Co-Educational Schools Should Be Supported;What is co education system?;How many co ed schools are there in the US?
