;parent;name;inner.name
0;We have to employ mercenaries;How much do mercenaries make?;Are mercenaries illegal?
1;We have to employ mercenaries;How much do mercenaries make?;What is Blackwater called now?
2;We have to employ mercenaries;What are hired mercenaries?;What does a PMC do?
3;We have to employ mercenaries;What are hired mercenaries?;How much does it cost to hire mercenaries?
4;We have to employ mercenaries;What are hired mercenaries?;Are private military contractors legal?
5;We have to employ mercenaries;Are PMCs mercenaries?;Are private armies illegal?
6;We have to employ mercenaries;Are PMCs mercenaries?;Does Monsanto own Blackwater?
7;We have to employ mercenaries;Are PMCs mercenaries?;Are Gurkhas mercenaries?
8;We have to employ mercenaries;Can you become a mercenary without military experience?;What do you need to become a mercenary?
9;We have to employ mercenaries;Can you become a mercenary without military experience?;How do I become a military contractor?
10;We have to employ mercenaries;Can you become a mercenary without military experience?;Can you join a private military with no experience?
