;parent;name;inner.name
0;The Western intervention in Libya has been a success;How wealthy is Libya?;Is Libya a rich country?
1;The Western intervention in Libya has been a success;How wealthy is Libya?;Is Libya an oil rich country?
2;The Western intervention in Libya has been a success;Did the US intervene in Libya?;Is Libya a US sanctioned country?
3;The Western intervention in Libya has been a success;Did the US intervene in Libya?;What is the problem in Libya?
4;The Western intervention in Libya has been a success;Did the US intervene in Libya?;Why was there a civil war in Libya?
5;The Western intervention in Libya has been a success;Who attacked Libya?;Was Libya a French colony?
6;The Western intervention in Libya has been a success;Who attacked Libya?;Who started the war in Libya?
7;The Western intervention in Libya has been a success;Who attacked Libya?;Is Libya a monarchy?
8;The Western intervention in Libya has been a success;What did the US do to Libya?;When did US bomb Libya?
9;The Western intervention in Libya has been a success;What did the US do to Libya?;When did US attack Afghanistan?
10;The Western intervention in Libya has been a success;What did the US do to Libya?;When did US forces invade Iraq?
