;parent;name;inner.name
0;Sao Tome would drop relations with Taiwan in favour of Mainland China;Does China recognize Taiwan?;Does Canada recognize Taiwan?
1;Sao Tome would drop relations with Taiwan in favour of Mainland China;Does China recognize Taiwan?;Does Singapore recognize Taiwan?
2;Sao Tome would drop relations with Taiwan in favour of Mainland China;What countries have diplomatic relations with Taiwan?;Does China have an embassy in Taiwan?
3;Sao Tome would drop relations with Taiwan in favour of Mainland China;What countries have diplomatic relations with Taiwan?;Does NZ Recognise Taiwan?
4;Sao Tome would drop relations with Taiwan in favour of Mainland China;What countries have diplomatic relations with Taiwan?;Is Taiwan in NATO?
5;Sao Tome would drop relations with Taiwan in favour of Mainland China;Is Taiwan an ally of the US?;Does China still claim Taiwan?
6;Sao Tome would drop relations with Taiwan in favour of Mainland China;Is Taiwan an ally of the US?;Does the US recognize Palestine?
7;Sao Tome would drop relations with Taiwan in favour of Mainland China;Is Taiwan an ally of the US?;Was China a colony?
8;Sao Tome would drop relations with Taiwan in favour of Mainland China;Is Taiwan Recognised by the UN?;Why is Taiwan not part of UN?
9;Sao Tome would drop relations with Taiwan in favour of Mainland China;Is Taiwan Recognised by the UN?;Why did Taiwan leave China?
10;Sao Tome would drop relations with Taiwan in favour of Mainland China;Is Taiwan Recognised by the UN?;Is Taiwan in China or Japan?
