;parent;name;inner.name
0;Israel should recognise the Palestinian right of return;What is the right of return for Palestinian refugees?;Should Palestinian refugees have the right of return?
1;Israel should recognise the Palestinian right of return;What is the right of return for Palestinian refugees?;What happened the day after Israel declared independence?
2;Israel should recognise the Palestinian right of return;What does right of return mean?;Can a Palestinian become an Israeli citizen?
3;Israel should recognise the Palestinian right of return;What does right of return mean?;How many Palestinian refugees live in Israel?
4;Israel should recognise the Palestinian right of return;What does right of return mean?;Which countries attacked Israel in the Yom Kippur War of 1973?
5;Israel should recognise the Palestinian right of return;What is the Right of Return in Israel?;How can I get Israeli citizenship?
6;Israel should recognise the Palestinian right of return;What is the Right of Return in Israel?;How do I become a lawyer in Israel?
7;Israel should recognise the Palestinian right of return;What is the Right of Return in Israel?;Who was involved in the Israeli and Palestinian conflict?
8;Israel should recognise the Palestinian right of return;How many Palestinians were displaced by the creation of Israel?;How many Palestinians were expelled from Israel?
9;Israel should recognise the Palestinian right of return;How many Palestinians were displaced by the creation of Israel?;When did the Jews leave Israel?
10;Israel should recognise the Palestinian right of return;How many Palestinians were displaced by the creation of Israel?;Why did Britain gave Palestine to Israel?
