;parent;name;inner.name
0;Terrorists Should Be Subject to the Geneva Conventions;What are the Geneva conventions and protocols?;Are medics protected in war?
1;Terrorists Should Be Subject to the Geneva Conventions;What are the Geneva conventions and protocols?;What were the results of the Geneva Convention?
2;Terrorists Should Be Subject to the Geneva Conventions;What countries signed the Geneva Convention?;What countries are part of the Hague Convention?
3;Terrorists Should Be Subject to the Geneva Conventions;What countries signed the Geneva Convention?;When was chemical warfare banned?
4;Terrorists Should Be Subject to the Geneva Conventions;What countries signed the Geneva Convention?;Did the US sign the Hague Convention?
5;Terrorists Should Be Subject to the Geneva Conventions;What does Geneva Convention mean?;Why is there a Geneva Convention?
6;Terrorists Should Be Subject to the Geneva Conventions;What does Geneva Convention mean?;What is banned by the Geneva Convention?
7;Terrorists Should Be Subject to the Geneva Conventions;What does Geneva Convention mean?;What is Article 4 of the Geneva Convention?
8;Terrorists Should Be Subject to the Geneva Conventions;How does international law deal with prisoners of war?;How were POWs treated in ww2?
9;Terrorists Should Be Subject to the Geneva Conventions;How does international law deal with prisoners of war?;Are there still prisoners of war?
10;Terrorists Should Be Subject to the Geneva Conventions;How does international law deal with prisoners of war?;What is done with prisoners of war?
