;parent;name;inner.name
0;Governments Should Actively Promote Multiculturalism;Why should we promote multiculturalism?;Why is getting a multicultural education important?
1;Governments Should Actively Promote Multiculturalism;Why should we promote multiculturalism?;Why is Canada's policy of multiculturalism necessary?
2;Governments Should Actively Promote Multiculturalism;What are the characteristics of multiculturalism?;What are the benefits of multiculturalism?
3;Governments Should Actively Promote Multiculturalism;What are the characteristics of multiculturalism?;What is the idea of multiculturalism?
4;Governments Should Actively Promote Multiculturalism;What are the characteristics of multiculturalism?;What is the concept of multiculturalism?
5;Governments Should Actively Promote Multiculturalism;What is an example of multiculturalism?;What is the opposite of multiculturalism?
6;Governments Should Actively Promote Multiculturalism;What is an example of multiculturalism?;What defines multiculturalism?
7;Governments Should Actively Promote Multiculturalism;What is an example of multiculturalism?;What are the benefits of multicultural society?
8;Governments Should Actively Promote Multiculturalism;What are were the criticisms of multiculturalism?;Is diversity the same as multiculturalism?
9;Governments Should Actively Promote Multiculturalism;What are were the criticisms of multiculturalism?;What is multiculturalism theory?
10;Governments Should Actively Promote Multiculturalism;What are were the criticisms of multiculturalism?;What is multiculturalism in political philosophy?
