;parent;name;inner.name
0;Tunisia should not rely on tourism for economic growth;What is the economy like in Tunisia?;Is Tunisia dangerous?
1;Tunisia should not rely on tourism for economic growth;What is the economy like in Tunisia?;Is Tunisia a third world country?
2;Tunisia should not rely on tourism for economic growth;How wealthy is Tunisia?;What's Tunisia famous for?
3;Tunisia should not rely on tourism for economic growth;How wealthy is Tunisia?;What is the old name of Tunisia?
4;Tunisia should not rely on tourism for economic growth;How wealthy is Tunisia?;Is Tunisia rich country?
5;Tunisia should not rely on tourism for economic growth;How large is the legislature of Tunisia?;Does Tunisia have a dictator?
6;Tunisia should not rely on tourism for economic growth;How large is the legislature of Tunisia?;Will there be elections in Tunisia?
7;Tunisia should not rely on tourism for economic growth;How large is the legislature of Tunisia?;Is Tunisia a democratic country?
8;Tunisia should not rely on tourism for economic growth;What is the current account balance of Tunisia?;Who is in charge of Tunisian government?
9;Tunisia should not rely on tourism for economic growth;What is the current account balance of Tunisia?;Is Tunisia a nation state?
10;Tunisia should not rely on tourism for economic growth;What is the current account balance of Tunisia?;What is Tunisia's government?
