;parent;name;inner.name
0;School vouchers should be encouraged;What is the school voucher debate?;How would a school voucher system work?
1;School vouchers should be encouraged;What is the school voucher debate?;How much will my Section 8 voucher be?
2;School vouchers should be encouraged;What are the benefits of school vouchers?;Why should we have school vouchers?
3;School vouchers should be encouraged;What are the benefits of school vouchers?;What are private school vouchers?
4;School vouchers should be encouraged;What are the benefits of school vouchers?;What school choice means?
5;School vouchers should be encouraged;What states offer vouchers for private schools?;Are there vouchers for private schools?
6;School vouchers should be encouraged;What states offer vouchers for private schools?;How do I get a voucher for private school?
7;School vouchers should be encouraged;What states offer vouchers for private schools?;Can vouchers be used for religious schools?
8;School vouchers should be encouraged;Are school vouchers constitutional?;Is teaching creationism in public schools illegal?
9;School vouchers should be encouraged;Are school vouchers constitutional?;Can public funds be used to provide school vouchers for private schools state the case?
10;School vouchers should be encouraged;Are school vouchers constitutional?;Do the states have the right to promote religion?
