;parent;name;inner.name
0;Anarchism is a valuable political ideology;What is anarchism political ideology?;What are some political ideologies?
1;Anarchism is a valuable political ideology;What is anarchism political ideology?;Is it illegal to be an anarchist?
2;Anarchism is a valuable political ideology;What are the 5 political ideologies?;What is the most popular political ideology?
3;Anarchism is a valuable political ideology;What are the 5 political ideologies?;What is social ideology?
4;Anarchism is a valuable political ideology;What are the 5 political ideologies?;Why is political ideology important?
5;Anarchism is a valuable political ideology;Who has the power in anarchy?;Is Iceland an anarchy?
6;Anarchism is a valuable political ideology;Who has the power in anarchy?;Is Switzerland an anarchy?
7;Anarchism is a valuable political ideology;Who has the power in anarchy?;What is the goal of anarchism?
8;Anarchism is a valuable political ideology;What is the significance of anarchism?;What does an anarchist want?
9;Anarchism is a valuable political ideology;What is the significance of anarchism?;What does an anarchist believe in?
10;Anarchism is a valuable political ideology;What is the significance of anarchism?;What is the difference between anarchism and communism?
