;parent;name;inner.name
0;The Seychelles should buy territory and relocate due to climate change;Is the Seychelles sinking?;How high is the Maldives above sea level?
1;The Seychelles should buy territory and relocate due to climate change;Is the Seychelles sinking?;What are the Maldives doing about rising sea levels?
2;The Seychelles should buy territory and relocate due to climate change;Are the Seychelles safe to visit?;Are the Seychelles dangerous?
3;The Seychelles should buy territory and relocate due to climate change;Are the Seychelles safe to visit?;Is Seychelles safe from pirates?
4;The Seychelles should buy territory and relocate due to climate change;Are the Seychelles safe to visit?;Does the Seychelles have Zika?
5;The Seychelles should buy territory and relocate due to climate change;How wealthy is Seychelles?;Which is the richest country in world?
6;The Seychelles should buy territory and relocate due to climate change;How wealthy is Seychelles?;Who is the richest in Africa?
7;The Seychelles should buy territory and relocate due to climate change;How wealthy is Seychelles?;What country owns the Seychelles?
8;The Seychelles should buy territory and relocate due to climate change;How much milk does Seychelles consume annually?;How much milk does Australia consume annually?
9;The Seychelles should buy territory and relocate due to climate change;How much milk does Seychelles consume annually?;Do other countries drink milk?
10;The Seychelles should buy territory and relocate due to climate change;How much milk does Seychelles consume annually?;Which country eats the most yogurt?
