;parent;name;inner.name
0;"We must be a libertarian; right or left, right or wrong";Are Libertarians more left or right?;Are Libertarians like Republicans?
1;"We must be a libertarian; right or left, right or wrong";Are Libertarians more left or right?;Are Libertarians more Democrat or Republican?
2;"We must be a libertarian; right or left, right or wrong";Are Libertarians Democrats?;Are Mary Matalin and James Carville still married?
3;"We must be a libertarian; right or left, right or wrong";Are Libertarians Democrats?;Why does Penn paint his nail?
4;"We must be a libertarian; right or left, right or wrong";Are Libertarians Democrats?;Who started the Libertarian Party?
5;"We must be a libertarian; right or left, right or wrong";What do right libertarians believe?;What does social libertarian mean?
6;"We must be a libertarian; right or left, right or wrong";What do right libertarians believe?;How many libertarian Senators are there?
7;"We must be a libertarian; right or left, right or wrong";What do right libertarians believe?;Are conservatives left or right?
8;"We must be a libertarian; right or left, right or wrong";Is libertarian socialism an oxymoron?;Is Labour left or right?
9;"We must be a libertarian; right or left, right or wrong";Is libertarian socialism an oxymoron?;What is a far left liberal?
10;"We must be a libertarian; right or left, right or wrong";Is libertarian socialism an oxymoron?;Is Anarchism left or right?
