;parent;name;inner.name
0;Police body cameras should be allowed;What percentage of police departments use body cameras?;
1;Police body cameras should be allowed;What percentage of police departments use body cameras?;
2;Police body cameras should be allowed;How much does a police body camera cost?;
3;Police body cameras should be allowed;How much does a police body camera cost?;
4;Police body cameras should be allowed;How much does a police body camera cost?;
5;Police body cameras should be allowed;What states use body cameras?;Why do police use body cameras?
6;Police body cameras should be allowed;What states use body cameras?;What is the purpose of body cameras?
7;Police body cameras should be allowed;What states use body cameras?;What gives the states power to determine their own police policy?
8;Police body cameras should be allowed;When can an officer use deadly force?;Can police shoot a fleeing felon?
9;Police body cameras should be allowed;When can an officer use deadly force?;What is considered excessive force by a police officer?
10;Police body cameras should be allowed;When can an officer use deadly force?;Is police brutality legal?
