;parent;name;inner.name
0;Create a UN standing army;Should the UN have a standing army?;How big is the UN army?
1;Create a UN standing army;Should the UN have a standing army?;Did the League of Nations have an army?
2;Create a UN standing army;Does the UN have a standing army?;How many peacekeepers have died?
3;Create a UN standing army;Does the UN have a standing army?;How can I join the UN police?
4;Create a UN standing army;Does the UN have a standing army?;How does UN keep peace?
5;Create a UN standing army;How do you become a UN soldier?;How much do peacekeepers get paid?
6;Create a UN standing army;How do you become a UN soldier?;Do UN peacekeepers carry weapons?
7;Create a UN standing army;How do you become a UN soldier?;Can I join the UN army?
8;Create a UN standing army;What country has the most UN peacekeepers?;Can UN peacekeepers use force?
9;Create a UN standing army;What country has the most UN peacekeepers?;Which three countries are the top three funders of the United Nations?
10;Create a UN standing army;What country has the most UN peacekeepers?;Where is NATO currently deployed?
