;parent;name;inner.name
0;The decision of the state of Bavaria to publish Mein Kampf;Is Mein Kampf banned in Germany?;Does Germany have free speech?
1;The decision of the state of Bavaria to publish Mein Kampf;Is Mein Kampf banned in Germany?;Why were books banned in Germany?
2;The decision of the state of Bavaria to publish Mein Kampf;Is Mein Kampf banned in the UK?;Is Mein Kampf banned in America?
3;The decision of the state of Bavaria to publish Mein Kampf;Is Mein Kampf banned in the UK?;Why is Catcher in the Rye banned?
4;The decision of the state of Bavaria to publish Mein Kampf;Is Mein Kampf banned in the UK?;Why is Harry Potter banned?
5;The decision of the state of Bavaria to publish Mein Kampf;Who published Mein Kampf?;When was Mein Kampf published?
6;The decision of the state of Bavaria to publish Mein Kampf;Who published Mein Kampf?;How many pages are in Mein Kampf?
7;The decision of the state of Bavaria to publish Mein Kampf;Who published Mein Kampf?;What was Hitler's ultimate goal?
8;The decision of the state of Bavaria to publish Mein Kampf;What was the importance of Mein Kampf?;Why did Germany want to expand in ww2?
9;The decision of the state of Bavaria to publish Mein Kampf;What was the importance of Mein Kampf?;Which was a cause of World War II in Europe?
10;The decision of the state of Bavaria to publish Mein Kampf;What was the importance of Mein Kampf?;Why was Kristallnacht significant?
