;parent;name;inner.name
0;Abolish nuclear weapons;Which countries have banned nuclear weapons?;Which country is nuclear free?
1;Abolish nuclear weapons;Which countries have banned nuclear weapons?;Is nuclear testing banned?
2;Abolish nuclear weapons;How many states voted to adopt the 2017 treaty to ban nuclear weapons?;Will nuclear weapons ever be used?
3;Abolish nuclear weapons;How many states voted to adopt the 2017 treaty to ban nuclear weapons?;Which US president negotiated the Anti Ballistic Missile Treaty?
4;Abolish nuclear weapons;How many states voted to adopt the 2017 treaty to ban nuclear weapons?;Is there a treaty for nuclear weapons?
5;Abolish nuclear weapons;On what date were nuclear weapons banned from outer space?;Is it illegal to put weapons in space?
6;Abolish nuclear weapons;On what date were nuclear weapons banned from outer space?;Are there rules in space?
7;Abolish nuclear weapons;On what date were nuclear weapons banned from outer space?;Why is nuclear testing banned?
8;Abolish nuclear weapons;Are nuclear weapons prohibited by international law?;Does Britain have nuclear weapons?
9;Abolish nuclear weapons;Are nuclear weapons prohibited by international law?;When was the only time nuclear weapons were used?
10;Abolish nuclear weapons;Are nuclear weapons prohibited by international law?;Why is nuclear disarmament important?
