;parent;name;inner.name
0;New prisons need to be built to ease overcrowding;How can overcrowding be reduced?;What can be done to prevent jail overcrowding?
1;New prisons need to be built to ease overcrowding;How can overcrowding be reduced?;What does a split sentence mean?
2;New prisons need to be built to ease overcrowding;Why is overcrowding in prisons an issue?;What causes jail overcrowding?
3;New prisons need to be built to ease overcrowding;Why is overcrowding in prisons an issue?;How many prisons are overcrowded?
4;New prisons need to be built to ease overcrowding;Why is overcrowding in prisons an issue?;What state has the most prisons and jails?
5;New prisons need to be built to ease overcrowding;What percentage of prisons are overcrowded?;Are prisons overcrowded?
6;New prisons need to be built to ease overcrowding;What percentage of prisons are overcrowded?;How many people fit in a jail?
7;New prisons need to be built to ease overcrowding;What percentage of prisons are overcrowded?;What are the disadvantages of private prisons?
8;New prisons need to be built to ease overcrowding;Which state has the most overcrowded prisons?;Which state has the lowest incarceration rate?
9;New prisons need to be built to ease overcrowding;Which state has the most overcrowded prisons?;What race is incarcerated the most?
10;New prisons need to be built to ease overcrowding;Which state has the most overcrowded prisons?;How many prisons are in the US 2018?
