;parent;name;inner.name
0;The lack of investment in teachers is the greatest barrier to achieving universal primary education;What is the difference between universal primary education and universal basic education?;What is the meaning of universal primary education?
1;The lack of investment in teachers is the greatest barrier to achieving universal primary education;What is the difference between universal primary education and universal basic education?;How can we achieve universal primary education?
2;The lack of investment in teachers is the greatest barrier to achieving universal primary education;How can Third World countries improve education?;How does globalization affect education?
3;The lack of investment in teachers is the greatest barrier to achieving universal primary education;How can Third World countries improve education?;Which country has the most lack of education?
4;The lack of investment in teachers is the greatest barrier to achieving universal primary education;How can Third World countries improve education?;How does poverty cause lack of education?
5;The lack of investment in teachers is the greatest barrier to achieving universal primary education;How can a teacher promote quality education?;What teachers need to improve on?
6;The lack of investment in teachers is the greatest barrier to achieving universal primary education;How can a teacher promote quality education?;How RCL enhances the quality of teaching and learning?
7;The lack of investment in teachers is the greatest barrier to achieving universal primary education;How can a teacher promote quality education?;How can schools improve education?
8;The lack of investment in teachers is the greatest barrier to achieving universal primary education;How do you overcome challenges in school?;How can teachers overcome challenges?
9;The lack of investment in teachers is the greatest barrier to achieving universal primary education;How do you overcome challenges in school?;How will you assist learners with barriers?
10;The lack of investment in teachers is the greatest barrier to achieving universal primary education;How do you overcome challenges in school?;What are the challenges in teaching?
