;parent;name;inner.name
0;The development of genetically modified organisms have to be banned;Where are GMOs banned?;Is tilapia a real fish or is it genetically engineered?
1;The development of genetically modified organisms have to be banned;Where are GMOs banned?;Is wheat genetically modified?
2;The development of genetically modified organisms have to be banned;Who is the father of GMO?;What was the first genetically modified animal?
3;The development of genetically modified organisms have to be banned;Who is the father of GMO?;Is corn a GMO?
4;The development of genetically modified organisms have to be banned;Who is the father of GMO?;How did Norman Borlaug die?
5;The development of genetically modified organisms have to be banned;How are GMOs created?;How are tomatoes genetically modified?
6;The development of genetically modified organisms have to be banned;How are GMOs created?;What are GMO crops?
7;The development of genetically modified organisms have to be banned;How are GMOs created?;What is genetic engineering in humans?
8;The development of genetically modified organisms have to be banned;What do GMO foods contain?;
9;The development of genetically modified organisms have to be banned;What do GMO foods contain?;How is cotton genetically modified?
10;The development of genetically modified organisms have to be banned;What do GMO foods contain?;Are seedless watermelons GMO?
