;parent;name;inner.name
0;The War in Iraq was Worth the Cost;How much did war in Iraq cost?;How many US soldiers died in Iraq?
1;The War in Iraq was Worth the Cost;How much did war in Iraq cost?;How many US soldiers died in Syria?
2;The War in Iraq was Worth the Cost;What were the benefits of the Iraq war?;What did the Iraq war accomplish?
3;The War in Iraq was Worth the Cost;What were the benefits of the Iraq war?;How long was the Iraq war?
4;The War in Iraq was Worth the Cost;What was the outcome of Iraq war?;Was the Iraq war legal?
5;The War in Iraq was Worth the Cost;What was the outcome of Iraq war?;What was the war called after 9 11?
6;The War in Iraq was Worth the Cost;What was the outcome of Iraq war?;How is Saddam Hussein?
7;The War in Iraq was Worth the Cost;How much does the war in Afghanistan cost per day?;How many US soldiers have died in Afghanistan?
8;The War in Iraq was Worth the Cost;How much does the war in Afghanistan cost per day?;What started the war in Afghanistan?
9;The War in Iraq was Worth the Cost;How much does the war in Afghanistan cost per day?;How much has the war on drugs cost?
