;parent;name;inner.name
0;It should be allowed to have military recruitment in schools;Should the military be allowed to recruit at high schools?;When did the US go to an all volunteer military?
1;It should be allowed to have military recruitment in schools;Should the military be allowed to recruit at high schools?;What percentage of US citizens served in the military?
2;It should be allowed to have military recruitment in schools;Do military recruiters belong in schools?;What percent of military jobs are combat?
3;It should be allowed to have military recruitment in schools;Do military recruiters belong in schools?;Should everyone serve in the military?
4;It should be allowed to have military recruitment in schools;Do military recruiters belong in schools?;What is the racial makeup of the US military?
5;It should be allowed to have military recruitment in schools;Should there be restrictions on military recruiters in schools?;What states have the most military recruits?
6;It should be allowed to have military recruitment in schools;Should there be restrictions on military recruiters in schools?;Which branch of the military gets paid the most?
7;It should be allowed to have military recruitment in schools;Should there be restrictions on military recruiters in schools?;How many black generals are in the US military?
8;It should be allowed to have military recruitment in schools;What percent of high school graduates enlist in the military?;What percentage of Millennials serve in the military?
9;It should be allowed to have military recruitment in schools;What percent of high school graduates enlist in the military?;What percent of high school graduates go to college?
10;It should be allowed to have military recruitment in schools;What percent of high school graduates enlist in the military?;How long is basic training boot camp?
