;parent;name;inner.name
0;Throw Russia out of the G8;Why was Russia kicked off g8?;When did Russia take over Crimea?
1;Throw Russia out of the G8;Why was Russia kicked off g8?;When did Russia join the g8?
2;Throw Russia out of the G8;Who are the g8 countries 2018?;What does the g20 do?
3;Throw Russia out of the G8;Who are the g8 countries 2018?;How many members does the g8 have?
4;Throw Russia out of the G8;Who are the g8 countries 2018?;What countries are in the g8 now?
5;Throw Russia out of the G8;Who dropped out of g8?;Why India is not in g8 countries?
6;Throw Russia out of the G8;Who dropped out of g8?;Where is the g8 headquarters located?
7;Throw Russia out of the G8;Who dropped out of g8?;Is China among the g8 countries?
8;Throw Russia out of the G8;How many members does the g7 have?;
9;Throw Russia out of the G8;How many members does the g7 have?;
10;Throw Russia out of the G8;How many members does the g7 have?;
