;parent;name;inner.name
0;We must hold a referendum on UK membership in the EU;How many EU referendums has UK had?;Is UK still in EU?
1;We must hold a referendum on UK membership in the EU;How many EU referendums has UK had?;Can EU citizens vote in UK referendum?
2;We must hold a referendum on UK membership in the EU;Did the UK have a referendum to join the EU?;Was the Scottish referendum legally binding?
3;We must hold a referendum on UK membership in the EU;Did the UK have a referendum to join the EU?;Was the EU referendum legally binding?
4;We must hold a referendum on UK membership in the EU;Did the UK have a referendum to join the EU?;What does leaving the customs union mean?
5;We must hold a referendum on UK membership in the EU;Why did UK leave EU?;Will the UK leave the EU?
6;We must hold a referendum on UK membership in the EU;Why did UK leave EU?;Is Brexit good for Britain?
7;We must hold a referendum on UK membership in the EU;Why did UK leave EU?;What is a hard Brexit?
8;We must hold a referendum on UK membership in the EU;Can we have another referendum on Brexit?;Can we have a second EU referendum?
9;We must hold a referendum on UK membership in the EU;Can we have another referendum on Brexit?;What is Labour's position on Brexit?
10;We must hold a referendum on UK membership in the EU;Can we have another referendum on Brexit?;Can Brexit be reversed?
