;parent;name;inner.name
0;Prescription drugs should be advertised directly to consumers;Should prescription drugs be advertised to consumers?;Should prescription drug ads be banned?
1;Prescription drugs should be advertised directly to consumers;Should prescription drugs be advertised to consumers?;When was prescription drug advertising legalized?
2;Prescription drugs should be advertised directly to consumers;Should prescription drugs be advertised directly to the public?;Can you advertise prescription drugs in Canada?
3;Prescription drugs should be advertised directly to consumers;Should prescription drugs be advertised directly to the public?;Does direct to consumer drug advertising enhance patient choice?
4;Prescription drugs should be advertised directly to consumers;Should prescription drugs be advertised directly to the public?;What is prescription drug advertising?
5;Prescription drugs should be advertised directly to consumers;What countries allow direct to consumer advertising pharmaceuticals?;When did direct to consumer advertising become legal?
6;Prescription drugs should be advertised directly to consumers;What countries allow direct to consumer advertising pharmaceuticals?;How much does the pharmaceutical industry spend on advertising?
7;Prescription drugs should be advertised directly to consumers;What countries allow direct to consumer advertising pharmaceuticals?;Is direct to consumer advertising of pharmaceutical drugs ethical?
8;Prescription drugs should be advertised directly to consumers;Do other countries advertise prescription drugs?;Why do prescription drugs have weird names?
9;Prescription drugs should be advertised directly to consumers;Do other countries advertise prescription drugs?;Why do drug companies have commercials?
10;Prescription drugs should be advertised directly to consumers;Do other countries advertise prescription drugs?;Who is C Lee Ventola?
