;parent;name;inner.name
0;Anti-Social Behaviour Orders (UK) must be scraped;How do you get an anti social Behaviour order?;Do anti social Behaviour orders work?
1;Anti-Social Behaviour Orders (UK) must be scraped;How do you get an anti social Behaviour order?;Is anti social Behaviour a crime?
2;Anti-Social Behaviour Orders (UK) must be scraped;How do you get an anti social Behaviour order?;What are some examples of antisocial behavior?
3;Anti-Social Behaviour Orders (UK) must be scraped;How do you get an anti social Behaviour order?;When was the ASBO abolished?
4;Anti-Social Behaviour Orders (UK) must be scraped;How do you get an anti social Behaviour order?;What has replaced ASBO?
5;Anti-Social Behaviour Orders (UK) must be scraped;What are some examples of antisocial behavior?;Is antisocial behavior a mental illness?
6;Anti-Social Behaviour Orders (UK) must be scraped;What are some examples of antisocial behavior?;Is loitering illegal UK?
7;Anti-Social Behaviour Orders (UK) must be scraped;What are some examples of antisocial behavior?;When was the ASBO abolished?
8;Anti-Social Behaviour Orders (UK) must be scraped;What are some examples of antisocial behavior?;What has replaced ASBO?
9;Anti-Social Behaviour Orders (UK) must be scraped;When was the ASBO abolished?;What is a CBO?
10;Anti-Social Behaviour Orders (UK) must be scraped;When was the ASBO abolished?;What is a civil injunction?
11;Anti-Social Behaviour Orders (UK) must be scraped;When was the ASBO abolished?;What has replaced ASBO?
12;Anti-Social Behaviour Orders (UK) must be scraped;What has replaced ASBO?;Is threatening behavior a criminal Offence?
13;Anti-Social Behaviour Orders (UK) must be scraped;What has replaced ASBO?;What is a community Behaviour order?
