;parent;name;inner.name
0;NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban;How much of Afghanistan did the Taliban control?;Did the US support the Taliban?
1;NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban;How much of Afghanistan did the Taliban control?;Who has the power in Afghanistan?
2;NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban;How many troops are in Afghanistan 2019?;Are there US troops in Afghanistan 2018?
3;NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban;How many troops are in Afghanistan 2019?;How many US troops have died in Afghanistan?
4;NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban;How many troops are in Afghanistan 2019?;Who is the prime minister of Afghanistan in 2019?
5;NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban;How many time zones does Afghanistan have?;Who is the leader of Afghanistan today?
6;NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban;How many time zones does Afghanistan have?;Who is the president of Afghanistan right now?
7;NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban;How many time zones does Afghanistan have?;Does Afghanistan have a president or prime minister?
8;NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban;Is there a US military base in Afghanistan?;What was the deadliest battle in Afghanistan?
9;NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban;Is there a US military base in Afghanistan?;Does the US have a military base in the Philippines?
10;NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban;Is there a US military base in Afghanistan?;Where in Afghanistan are US troops?
