;parent;name;inner.name
0;Parents should have the right to do background checks on those looking after their children;What do school volunteer background checks look for?;Can you get a teaching job with a misdemeanor on your record?
1;Parents should have the right to do background checks on those looking after their children;What do school volunteer background checks look for?;Do CPS cases show up on background checks?
2;Parents should have the right to do background checks on those looking after their children;Do volunteers need background checks?;How often should a church do background checks?
3;Parents should have the right to do background checks on those looking after their children;Do volunteers need background checks?;Can I volunteer if I have a criminal record?
4;Parents should have the right to do background checks on those looking after their children;Do volunteers need background checks?;Do churches do background checks?
5;Parents should have the right to do background checks on those looking after their children;Do daycares do background checks?;What is a child care background check?
6;Parents should have the right to do background checks on those looking after their children;Do daycares do background checks?;Can I work in childcare with a criminal record?
7;Parents should have the right to do background checks on those looking after their children;Do daycares do background checks?;What is a comprehensive background check?
8;Parents should have the right to do background checks on those looking after their children;How long does a background check take for volunteer?;How can I speed up my background check?
9;Parents should have the right to do background checks on those looking after their children;How long does a background check take for volunteer?;What type of background check does Girl Scouts do?
10;Parents should have the right to do background checks on those looking after their children;How long does a background check take for volunteer?;What information do you need to run a background check?
