;parent;name;inner.name
0;Arranged marriages in EU countries should be banned.;Is it illegal to force someone to marry?;Are arranged marriages illegal?
1;Arranged marriages in EU countries should be banned.;Is it illegal to force someone to marry?;When did arranged marriages start?
2;Arranged marriages in EU countries should be banned.;Is Arranged Marriage forced?;
3;Arranged marriages in EU countries should be banned.;Is Arranged Marriage forced?;
4;Arranged marriages in EU countries should be banned.;Is Arranged Marriage forced?;
5;Arranged marriages in EU countries should be banned.;In what countries is forced marriage legal?;What country has the lowest legal age for marriage?
6;Arranged marriages in EU countries should be banned.;In what countries is forced marriage legal?;In what countries is child marriage legal?
7;Arranged marriages in EU countries should be banned.;In what countries is forced marriage legal?;Are child brides legal?
8;Arranged marriages in EU countries should be banned.;Is Arranged marriage illegal in the UK?;Which state has the youngest marriage age?
9;Arranged marriages in EU countries should be banned.;Is Arranged marriage illegal in the UK?;Is child marriage legal in Pakistan?
10;Arranged marriages in EU countries should be banned.;Is Arranged marriage illegal in the UK?;What state has the youngest age of consent?
