;parent;name;inner.name
0;Cars Should Be Banned From City Centres;Why gas cars should be banned?;Which country banned gas cars?
1;Cars Should Be Banned From City Centres;Why gas cars should be banned?;Will gas cars become illegal?
2;Cars Should Be Banned From City Centres;Where are cars banned?;What Cities Can you live in without a car?
3;Cars Should Be Banned From City Centres;Where are cars banned?;How can I get places without a car?
4;Cars Should Be Banned From City Centres;Where are cars banned?;Why are cars banned from Mackinac Island?
5;Cars Should Be Banned From City Centres;Which countries are banning diesel cars?;Will hybrid cars be banned in 2040?
6;Cars Should Be Banned From City Centres;Which countries are banning diesel cars?;Will diesel cars be banned in India?
7;Cars Should Be Banned From City Centres;Which countries are banning diesel cars?;Which countries have the most cars?
8;Cars Should Be Banned From City Centres;Are diesel cars likely to be banned?;Which diesel engine is the most reliable?
9;Cars Should Be Banned From City Centres;Are diesel cars likely to be banned?;Who makes the best diesel engine for cars?
10;Cars Should Be Banned From City Centres;Are diesel cars likely to be banned?;Are diesel cars still being made?
