;parent;name;inner.name
0;Google is the extremely reliable source of information;Is Google a reliable source?;Can you trust Google?
1;Google is the extremely reliable source of information;Is Google a reliable source?;Is .NET a reliable source?
2;Google is the extremely reliable source of information;How do you know if information on the Internet is reliable?;Is the Internet reliable?
3;Google is the extremely reliable source of information;How do you know if information on the Internet is reliable?;How accurate is the Internet?
4;Google is the extremely reliable source of information;How do you know if information on the Internet is reliable?;How do you know a reliable source on Google?
5;Google is the extremely reliable source of information;Why is Wiki not a reliable source?;Is encyclopedia a reliable source?
6;Google is the extremely reliable source of information;Why is Wiki not a reliable source?;Is Wikipedia a reliable source 2018?
7;Google is the extremely reliable source of information;Why is Wiki not a reliable source?;Is Wikipedia reliable 2017?
8;Google is the extremely reliable source of information;What is the reliable source of information?;What are the most reliable sources?
9;Google is the extremely reliable source of information;What is the reliable source of information?;Are newspapers reliable source of information?
10;Google is the extremely reliable source of information;What is the reliable source of information?;Why is reliable information important?
