;parent;name;inner.name
0;Capitalism is better than socialism;What is better capitalism or socialism?;What do the Socialists believe in?
1;Capitalism is better than socialism;What is better capitalism or socialism?;What's socialism and capitalism?
2;Capitalism is better than socialism;Is capitalism preferable to socialism?;Is socialism the opposite of capitalism?
3;Capitalism is better than socialism;Is capitalism preferable to socialism?;What countries in the world are socialist?
4;Capitalism is better than socialism;Is capitalism preferable to socialism?;Has socialism worked in any country?
5;Capitalism is better than socialism;Why Capitalism is the best?;What is the point of capitalism?
6;Capitalism is better than socialism;Why Capitalism is the best?;What is the importance of capitalism?
7;Capitalism is better than socialism;Why Capitalism is the best?;Does open markets and capitalism create wealth?
8;Capitalism is better than socialism;Is capitalism the best system?;What is the best economy in the world?
9;Capitalism is better than socialism;Is capitalism the best system?;Why is free market the best economic system?
10;Capitalism is better than socialism;Is capitalism the best system?;Which country has the best economic system?
