;parent;name;inner.name
0;In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.;Could there be a general election in 2018?;Is there another election in 2018?
1;In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.;Could there be a general election in 2018?;Is there another election in 2019?
2;In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.;How do parliamentary elections work?;What are the 4 types of elections?
3;In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.;How do parliamentary elections work?;Do you think it is good to elect someone president for life or is it better to hold regular elections after every few years?
4;In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.;How do parliamentary elections work?;Can a general election be called at any time?
5;In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.;How quickly can a general election be held?;Can a general election be called?
6;In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.;How quickly can a general election be held?;Who chooses the prime minister?
7;In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.;How quickly can a general election be held?;When can an election be called?
8;In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.;Can the Prime Minister call an election?;What date did David Cameron resign?
9;In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.;Can the Prime Minister call an election?;Can the Queen dissolve parliament >?
10;In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.;Can the Prime Minister call an election?;Why was the 2017 general election called?
