;parent;name;inner.name
0;UK should have a second Brexit referendum before leaving the EU;Should the UK hold a second referendum on Brexit?;Does Europe extend Brexit?
1;UK should have a second Brexit referendum before leaving the EU;Should the UK hold a second referendum on Brexit?;Can Brexit be overturned?
2;UK should have a second Brexit referendum before leaving the EU;Why did the UK want to leave the EU?;Has the UK left the EU?
3;UK should have a second Brexit referendum before leaving the EU;Why did the UK want to leave the EU?;Is Brexit good for UK?
4;UK should have a second Brexit referendum before leaving the EU;Why did the UK want to leave the EU?;Why hasn't Britain left the EU yet?
5;UK should have a second Brexit referendum before leaving the EU;When was the UK meant to leave the EU?;Will Britain actually leave the EU?
6;UK should have a second Brexit referendum before leaving the EU;When was the UK meant to leave the EU?;Is Britain actually leaving the EU?
7;UK should have a second Brexit referendum before leaving the EU;When was the UK meant to leave the EU?;How much does the UK pay to the EU each week?
8;UK should have a second Brexit referendum before leaving the EU;Can there be a second referendum?;Was the Brexit referendum legally binding?
9;UK should have a second Brexit referendum before leaving the EU;Can there be a second referendum?;What is Labour's position on Brexit?
10;UK should have a second Brexit referendum before leaving the EU;Can there be a second referendum?;Will there be a second Scottish referendum?
