;parent;name;inner.name
0;We must invade and forcibly reunify the Korean peninsula;Can North Korea take over South Korea?;Is North Korea dangerous to visit?
1;We must invade and forcibly reunify the Korean peninsula;Can North Korea take over South Korea?;When did North Korea get nukes?
2;We must invade and forcibly reunify the Korean peninsula;What does denuclearization of the Korean peninsula mean?;Does North Korea have hydrogen bomb?
3;We must invade and forcibly reunify the Korean peninsula;What does denuclearization of the Korean peninsula mean?;When did Israel get nuclear weapons?
4;We must invade and forcibly reunify the Korean peninsula;What does denuclearization of the Korean peninsula mean?;Which country has the most nuclear weapons?
5;We must invade and forcibly reunify the Korean peninsula;Why did Korea split into north and south?;Why did the US go to war in Korea & What was the result?
6;We must invade and forcibly reunify the Korean peninsula;Why did Korea split into north and south?;What is the problem between North Korea and South Korea?
7;We must invade and forcibly reunify the Korean peninsula;Why did Korea split into north and south?;What separates North and South Korea?
8;We must invade and forcibly reunify the Korean peninsula;Why did North Korea cross the 38th parallel?;Why did the Korean War end?
9;We must invade and forcibly reunify the Korean peninsula;Why did North Korea cross the 38th parallel?;How many North Koreans died in the Korean War?
10;We must invade and forcibly reunify the Korean peninsula;Why did North Korea cross the 38th parallel?;Are there still POW camps in Vietnam?
