;parent;name;inner.name
0;Social deprivation causes crime;What causes social deprivation?;What is poverty and deprivation?
1;Social deprivation causes crime;What causes social deprivation?;What is deprivation in sociology?
2;Social deprivation causes crime;What makes a Neighbourhood socially deprived?;How does deprivation affect a child?
3;Social deprivation causes crime;What makes a Neighbourhood socially deprived?;How does poverty affect a child's development UK?
4;Social deprivation causes crime;What is social deprivation in childhood?;How does social deprivation affect child development?
5;Social deprivation causes crime;What is social deprivation in childhood?;What is the most deprived area in London?
6;Social deprivation causes crime;What is social deprivation in childhood?;What is meant by the blooming and pruning process?
7;Social deprivation causes crime;What is socio economic deprivation?;What is economic deprivation theory?
8;Social deprivation causes crime;What is socio economic deprivation?;What is area deprivation?
9;Social deprivation causes crime;What is socio economic deprivation?;What does socioeconomic inequality mean?
