;parent;name;inner.name
0;Forced marriage should be banned;What is the law on forced marriage?;What are the signs of forced marriage?
1;Forced marriage should be banned;What is the law on forced marriage?;What is forced marriage slavery?
2;Forced marriage should be banned;Why does forced marriage happen?;What religion has forced marriages?
3;Forced marriage should be banned;Why does forced marriage happen?;What are the dangers of early marriage?
4;Forced marriage should be banned;Why does forced marriage happen?;Is forced marriage illegal in Scotland?
5;Forced marriage should be banned;Where is forced marriage most common?;Is Forced marriage legal in Afghanistan?
6;Forced marriage should be banned;Where is forced marriage most common?;Is forced marriage a form of human trafficking?
7;Forced marriage should be banned;Where is forced marriage most common?;What country has the youngest marriage age?
8;Forced marriage should be banned;Is Arranged Marriage forced?;What is forced marriage in Islam?
9;Forced marriage should be banned;Is Arranged Marriage forced?;What is the meaning of love marriage?
