;parent;name;inner.name
0;Does campaign finance in the United States need to be fixed?;What are the campaign finance laws?;What is the purpose of campaign finance regulations?
1;Does campaign finance in the United States need to be fixed?;What are the campaign finance laws?;What is the penalty for campaign finance violations?
2;Does campaign finance in the United States need to be fixed?;What is the difference between traditional and participating campaign funding?;How does public campaign financing work?
3;Does campaign finance in the United States need to be fixed?;What is the difference between traditional and participating campaign funding?;Is there a limit on campaign donations?
4;Does campaign finance in the United States need to be fixed?;What is the difference between traditional and participating campaign funding?;How did the mccain Feingold Act change campaign financing?
5;Does campaign finance in the United States need to be fixed?;What happens to campaign funds if you lose?;Can campaign funds be used for personal use?
6;Does campaign finance in the United States need to be fixed?;What happens to campaign funds if you lose?;Can politicians keep unused campaign funds?
7;Does campaign finance in the United States need to be fixed?;What happens to campaign funds if you lose?;Can candidates pay themselves from campaign funds?
8;Does campaign finance in the United States need to be fixed?;Can foreigners contribute to US political campaigns?;Can non citizens work on political campaigns?
9;Does campaign finance in the United States need to be fixed?;Can foreigners contribute to US political campaigns?;How much can an individual contribute to a political campaign?
10;Does campaign finance in the United States need to be fixed?;Can foreigners contribute to US political campaigns?;How much can corporations give to a political campaign?
