;parent;name;inner.name
0;Teachers should be armed;Why teachers should carry guns?;Should teachers get paid more?
1;Teachers should be armed;Why teachers should carry guns?;Should teachers give homework?
2;Teachers should be armed;What states allow teachers to carry guns?;In what states are teachers armed?
3;Teachers should be armed;What states allow teachers to carry guns?;Can an off duty police officer carry a gun on school grounds?
4;Teachers should be armed;What states allow teachers to carry guns?;Can you carry a gun in a school with a permit?
5;Teachers should be armed;Is it safe to arm teachers?;How much would it cost to arm teachers?
6;Teachers should be armed;Is it safe to arm teachers?;Should guns be allowed on school campuses?
7;Teachers should be armed;Is it safe to arm teachers?;Should teachers be allowed to carry guns in school debate?
8;Teachers should be armed;Should teachers be allowed to carry guns in school essay?;Should teachers carry guns conclusion?
9;Teachers should be armed;Should teachers be allowed to carry guns in school essay?;Should guns be allowed on college campuses essay?
10;Teachers should be armed;Should teachers be allowed to carry guns in school essay?;Can you carry a gun on school property in Texas?
