;parent;name;inner.name
0;Adding artificial happy endings to a story completely ruins it;Do fairy tales always have a happy ending?;What is a fairytale ending?
1;Adding artificial happy endings to a story completely ruins it;Do fairy tales always have a happy ending?;Is it happy ever after or happily?
2;Adding artificial happy endings to a story completely ruins it;Can a tragedy have a happy ending?;What is a play with a happy ending called?
3;Adding artificial happy endings to a story completely ruins it;Can a tragedy have a happy ending?;How do you write an ending?
4;Adding artificial happy endings to a story completely ruins it;Can a tragedy have a happy ending?;How do you write a sad story?
5;Adding artificial happy endings to a story completely ruins it;How do you not end a story?;How do you finish a story quickly?
6;Adding artificial happy endings to a story completely ruins it;How do you not end a story?;How do you make a good ending to a story?
7;Adding artificial happy endings to a story completely ruins it;How do you not end a story?;What is the end of a story called?
8;Adding artificial happy endings to a story completely ruins it;What constitutes a happy ending?;What is Inuing?
9;Adding artificial happy endings to a story completely ruins it;What constitutes a happy ending?;What is Enewing?
10;Adding artificial happy endings to a story completely ruins it;What constitutes a happy ending?;What is an ENU?
