;parent;name;inner.name
0;We should be investing in public transport;Why should we take public transport?;Why should public transport be free?
1;We should be investing in public transport;Why should we take public transport?;Why do we need transport?
2;We should be investing in public transport;What are the benefits of using public transport?;How much money can you save by using public transport?
3;We should be investing in public transport;What are the benefits of using public transport?;Is public transportation safer than driving?
4;We should be investing in public transport;What are the benefits of using public transport?;Why public transport is better than private transport?
5;We should be investing in public transport;Should more money be spent on public transport?;Should government spend more money on improving roads?
6;We should be investing in public transport;Should more money be spent on public transport?;Should government spend money on railways rather than roads?
7;We should be investing in public transport;How important is public transport?;Is public transportation safe?
8;We should be investing in public transport;How important is public transport?;Is it cheaper to use public transportation?
9;We should be investing in public transport;How important is public transport?;Why is Indian transport important?
