;parent;name;inner.name
0;Unemployment benefit should be paid in the form of vouchers for food, shelter and the basics of life;What can disqualify you from unemployment benefits?;Why would an employer fight an unemployment claim?
1;Unemployment benefit should be paid in the form of vouchers for food, shelter and the basics of life;What can disqualify you from unemployment benefits?;What reasons can you be denied unemployment?
2;Unemployment benefit should be paid in the form of vouchers for food, shelter and the basics of life;How long does it take for a decision to be made on unemployment?;How long does it take to receive my unemployment money after making a request for payment?
3;Unemployment benefit should be paid in the form of vouchers for food, shelter and the basics of life;How long does it take for a decision to be made on unemployment?;What does redetermination mean for unemployment?
4;Unemployment benefit should be paid in the form of vouchers for food, shelter and the basics of life;How long does it take for a decision to be made on unemployment?;How can I get fired and still collect unemployment?
5;Unemployment benefit should be paid in the form of vouchers for food, shelter and the basics of life;Can you refile for unemployment after it runs out?;Can you get unemployment after 26 weeks?
6;Unemployment benefit should be paid in the form of vouchers for food, shelter and the basics of life;Can you refile for unemployment after it runs out?;Can I collect unemployment after 26 weeks?
7;Unemployment benefit should be paid in the form of vouchers for food, shelter and the basics of life;Can you refile for unemployment after it runs out?;Can I get an extension on my unemployment?
8;Unemployment benefit should be paid in the form of vouchers for food, shelter and the basics of life;Can I get unemployment if I was fired for misconduct?;How does an employer prove misconduct?
9;Unemployment benefit should be paid in the form of vouchers for food, shelter and the basics of life;Can I get unemployment if I was fired for misconduct?;What is considered misconduct for unemployment?
10;Unemployment benefit should be paid in the form of vouchers for food, shelter and the basics of life;Can I get unemployment if I was fired for misconduct?;Can you collect unemployment if you quit your job because of stress?
