;parent;name;inner.name
0;We should restrict violent video games;Should violent video games have First Amendment protection?;Are video games free speech?
1;We should restrict violent video games;Should violent video games have First Amendment protection?;Does freedom of speech apply to minors?
2;We should restrict violent video games;Do violent video games cause violent behavior?;Do video games make people more violent?
3;We should restrict violent video games;Do violent video games cause violent behavior?;How violent video games affect children's behavior?
4;We should restrict violent video games;Do violent video games cause violent behavior?;Are violent video games bad for youth?
5;We should restrict violent video games;Should child play violent video games?;Do violent video games encourage players to become violent in real life?
6;We should restrict violent video games;Should child play violent video games?;Are violent video games harmless?
7;We should restrict violent video games;Should child play violent video games?;What are some effects of violent video games?
8;We should restrict violent video games;What percentage of gamers are violent?;
9;We should restrict violent video games;What percentage of gamers are violent?;
10;We should restrict violent video games;What percentage of gamers are violent?;
