;parent;name;inner.name
0;Abolish the security council veto;Can a permanent member of the UN Security Council be removed?;Is Russia a permanent member of the Security Council?
1;Abolish the security council veto;Can a permanent member of the UN Security Council be removed?;Can a country be removed from the UN Security Council?
2;Abolish the security council veto;Is it time to end the veto power of the five permanent members of the UN Security Council?;Should India get a permanent seat on the UN Security Council?
3;Abolish the security council veto;Is it time to end the veto power of the five permanent members of the UN Security Council?;Should the UN veto power be abolished?
4;Abolish the security council veto;Is it time to end the veto power of the five permanent members of the UN Security Council?;How many times veto power has been used?
5;Abolish the security council veto;Should the United Nations grant India permanent membership on the Security Council?;How many non permanent members are on the Security Council?
6;Abolish the security council veto;Should the United Nations grant India permanent membership on the Security Council?;Was India offered permanent seat in UN Security Council?
7;Abolish the security council veto;Should the United Nations grant India permanent membership on the Security Council?;Why India is not a permanent member of UN Security Council?
8;Abolish the security council veto;Can veto power be overridden?;When was the last time a veto was overridden?
9;Abolish the security council veto;Can veto power be overridden?;How many Senate votes are needed to override a veto?
10;Abolish the security council veto;Can veto power be overridden?;Has a veto been overridden?
